premise	hypothesis	label
There are few things worse than being bludgeoned into reading a book you hate .	There are few things worse than being forced to read a book you hate .	entailment
The effect is rather like an extended advertisement for Marlboro Lights .	The effect is rather like a larger advertisement for Marlboro Lights .	entailment
That approach would seek to knock out a keystone of Civil Service tradition .	That approach would seek to knock out the basis of Civil Service tradition .	entailment
Did law and meteorology last Easter , and now I 've finished navigation , radiotelephony , and technical — that was the toughest . ’	Did law and meteorology last Easter , and now I 've finished navigation , radiotelephony , and technical — that was the most difficult . ’	entailment
The results are terse and sharply etched , like the best line drawings .	The results are concise and sharply etched , like the best line drawings .	entailment
The plane climbs reluctantly , one set of wings dipping drunkenly .	The plane climbs reluctantly , one set of wings dipping cumbersomely.	entailment
Torchlights , flaring against the night sky and reflected in the water , had been set up wherever it was suitable .	Torchlights , burning against the night sky and reflected in the water , had been set up wherever it was suitable .	entailment
Dirty grey clouds tumbled across the sky above the slate roof , now the only thing that shone , glazed with rain .	Dirty grey clouds tumbled across the sky above the slate roof , now the only thing that shone , shining with rain .	entailment
‘ When Tony could n't get me to climax , he wanted to ask another girl over , ’ Clare said .	‘ When Tony could n't get me to have orgasm, he wanted to ask another girl over , ’ Clare said .	entailment
he absorbed the knowledge or beliefs of his tribe.	he absorbed the beverages of his tribe .	not_entailment
he absorbed the costs for the accident.	he absorbed the sunlight after the accident .	not_entailment
the sales tax is absorbed into the state income tax.	the dirty water is absorbed into the clean water .	not_entailment
the immigrants were quickly absorbed into society.	the chemicals were quickly absorbed into sponges .	not_entailment
her interest in butterflies absorbs her completely.	her butterflies absorb her food completely .	not_entailment
you must adhere to the rules.	you must adhere the rules to the wall .	not_entailment
the residents of this village adhered to catholicism.	the wax of this village adhered to fingers .	not_entailment
this problem admits of no solution	this park admits no dogs	not_entailment
she aired her opinions on welfare	she aired her laundry on the roof	not_entailment
this idea will never amount to anything	this budget will never amount to more than a thousand euros	not_entailment
the steering of my new car answers to the slightest touch	the person in my new car answers any question	not_entailment
i attacked the problem as soon as i got out of bed	i attacked the mailman as soon as i got out of bed	not_entailment
which horse are you backing?	which car are you backing up ?	not_entailment
she was besieged by so many problems that she got discouraged	she was besieged by so many soldiers that she gave up	not_entailment
she tended to blast when speaking into a microphone	she tended to blast holes in the wall when shooting	not_entailment
meteors blazed across the atmosphere.	meteors blazed through the dry forest .	not_entailment
the distinction between the two theories blurred	the ink between the two pages blurred	not_entailment
don't bolt your food!	don't bolt from the kitchen carrying food !	not_entailment
the government bowed to the military pressure	the government leaders bowed to the military generals	not_entailment
he breathed new life into the old house	he breathed onto the plants in the old house	not_entailment
our new synthetic fabric breathes and is perfect for summer wear	our new synthetic animal breathes and is perfect for a household pet	not_entailment
this rare bordeaux must be allowed to breathe for at least 2 hours	this rare dog from bordeaux must be allowed to breathe	not_entailment
this office is buzzing with activity	this bee is buzzing with activity	not_entailment
he buzzed the servant	he buzzed when the servant came near	not_entailment
she captured all the men's hearts	she captured all the men's hearts and stored them in glass jars	not_entailment
the judge clapped him in jail	the judge clapped when he sang in jail	not_entailment
they clawed their way to the top of the mountain.	the cats clawed their way to the top of the curtain	not_entailment
she clawed the doorknob.	she clawed the door .	not_entailment
the politician clawed his rival.	the politician clawed out his rival's eyes .	not_entailment
sales were climbing after prices were lowered	salespeople were climbing after ladders were lowered	not_entailment
the path climbed all the way to the top of the hill	the puffin climbed all the way to the top of the hill	not_entailment
this young man knows how to climb the social ladder	this young man knows how to climb the tall ladder	not_entailment
prices climbed steeply	vines climbed up the steep wall	not_entailment
the market is being clogged by these operations	the drain is being clogged by these operations	not_entailment
fear clogged her mind	hair clogged her pipe	not_entailment
my personal feelings color my judgment in this case	my personal crayons color my drawings in this case	not_entailment
his political ideas color his lectures	his paints color his posters	not_entailment
the rooms communicated	the people in the room communicated	not_entailment
his devotion to his sick wife condemned him to a lonely existence	his murdering his sick wife condemned him to a lonely existence in prison	not_entailment
the fire consumed the building	the firefighter consumed the sandwich	not_entailment
the comedian convulsed the crowd	the comedian violently convulsed on the floor	not_entailment
you can count on me to help you any time	you can count my things any time	not_entailment
the old cheese was crawling with maggots	the old cat was crawling toward the door	not_entailment
the speech crowned the meeting	the queen crowned the prince	not_entailment
a weather vane crowns the building	the king crowned the prince	not_entailment
she was crushed by his refusal of her invitation	she was crushed by a boulder	not_entailment
seurat culminated pointillism.	the mountain culminated at its peak	not_entailment
dashed by the refusal	they dashed by the store	not_entailment
it dawned on him that she had betrayed him	the sun dawned on him	not_entailment
the age of computers had dawned	the sun had dawned	not_entailment
the bad review of his work deflated his self-confidence	the needle deflated his balloon	not_entailment
the new measures deflated the economy	the new measures deflated the balloons	not_entailment
the glut of oil depressed gas prices	the glut of oil depressed her	not_entailment
the lack of rain had depressed the water level in the reservoir	the lack of rain had depressed the farmers	not_entailment
she designed a good excuse for not attending classes that day.	she designed a good shed for the class that day .	not_entailment
fire had devoured our home	ferrets had devoured our hominy	not_entailment
she devoured his novels	she devoured his nougat	not_entailment
i cannot digest all this information	i cannot digest all this food	not_entailment
the government digested the entire law into a code	the government workers digested the entire cake	not_entailment
he downed three martinis before dinner.	he downed three trees before dinner.	not_entailment
some people can down a pound of meat in the course of one meal.	some people can down a ton of missiles in the course of one mission.	not_entailment
stock prices are drifting higher	leaves are drifting higher on the wind	not_entailment
my son drifted around for years in california before going to law school	my son drifted holes as an engineer for years in california before going to law school	not_entailment
the stock market drifted upward	the leaves drifted upward on the wind	not_entailment
the mother drinks in every word of her son on the stage	the mother drinks in every drop of her juice on the stage	not_entailment
i was drowned in work	i almost drowned in the lake	not_entailment
she drowned her trouble in alcohol	she drowned her baby in the tub	not_entailment
middle age dulled her appetite for travel	time dulled her blades	not_entailment
the company dumped him after many years of service	the company dumped their fax machine after many years of service	not_entailment
some nice results emerged from the study	some nice roses emerged from the soil	not_entailment
the event engraved itself into her memory	memory of the event was engraved into a plaque	not_entailment
the turks erased the armenians in 1915	the turks erased the chalkboard in 1915	not_entailment
the boss exploded when he heard of the resignation of the secretary	the bomb exploded right when he heard of the resignation of the secretary	not_entailment
the middle east is fermenting	the alcohol is fermenting	not_entailment
fill the child with pride	fill the chalice with prune juice	not_entailment
every star seemed to flare with new intensity.	every disease seemed to flare up with new intensity	not_entailment
the night sky flared with the massive bombardment.	the bomb flared during the massive bombardment.	not_entailment
the latest intelligence is flashed to all command posts	the light is flashed to all command posts	not_entailment
the father flicked him with his hand.	the father flicked his hair with his hand.	not_entailment
the republicans are floating the idea of a tax reform	the republicans are floating the boat on the water	not_entailment
the dancer floated across the stage	the balloon floated across the stage	not_entailment
the government floated the ruble for a few months	the government floated the ship for a few months	not_entailment
the crowd flowed out of the stadium	the water flowed out of the stadium	not_entailment
the sky flushed with rosy splendor	the face flushed with rosy splendor	not_entailment
form the young child's character	form the young child's clay	not_entailment
the press was gagged	the victim was gagged	not_entailment
the moon glared back at itself from the lake's surface	the man glared back at the moon from the lake	not_entailment
the sun glared down on us	the man glared down at us	not_entailment
her face glowed when she came out of the sauna	her face glowed when she saw him in the sauna	not_entailment
this story will grab you	this crab will grab you	not_entailment
the conversation gravitated towards politics	the planets gravitated towards the black hole	not_entailment
his mind groped to make the connection	his hand groped to find the switch	not_entailment
the heavy rain guttered the soil.	the heavy bowler guttered.	not_entailment
harmonize one's goals with one's abilities	harmonize one's choir with one's pianist	not_entailment
these rivers head from a mountain range in the himalayas	these ranchers head toward a mountain range in the himalayas	not_entailment
the wheat headed early this year	the wheat headed the list this year	not_entailment
he heaped him with work	he heaped praise on him	not_entailment
the oscillator hunts about the correct frequency	the ombudsman hunts for the correct rabbits	not_entailment
the ostentatious way of living of the rich ignites the hatred of the poor	the ostentatious way the rich burn the woods ignites the houses of the poor	not_entailment
their language inclines us to believe them	their lasagna inclines us on the couch	not_entailment
his laughter infects everyone who is in the same room	his virus infects everyone who is in the same room	not_entailment
the charges were inflated	the mattresses were inflated	not_entailment
inflate the currency	inflate the balloon	not_entailment
he injected new life into the performance	he injected new drugs into the performer's system	not_entailment
she had to juggle her job and her children	she had to juggle her balls and her bowling pins	not_entailment
the gun kicked back into my shoulder.	the mule kicked back into my shoulder.	not_entailment
the businessman kited millions of dollars	the businessman flew millions of kites	not_entailment
this may land you in jail	this plane may land on top of the jail	not_entailment
lay the foundation for a new health care plan	lay the foundation for a new health care facility	not_entailment
lay a responsibility on someone	lay a hand on someone	not_entailment
the news were leaked to the paper	the ink leaked onto the paper	not_entailment
the news leaked out despite his secrecy	the water leaked out despite his secrecy	not_entailment
‘ Westerns have a gladiatorial , timeless quality .	Western Rome was gladiatorial.	not_entailment
£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .	£45,000 was the asking price and I was not surprised that the seller , so to speak , hung the painting .	not_entailment
Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .	Primal Scream Not a name which would lead you to expect self-absorbed doodlings on paper .	not_entailment
London 's leading pair , as if piqued by this , turned 30 September into the longest afternoon .	London 's leading pair , as if their interest were piqued by this , turned 30 September into the longest afternoon .	not_entailment
The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told .	The voice at the other end was plainly over-excited and it took him a minute to disentangle the ball of yarn he was given .	not_entailment
A fly landed on the empty , staring vizor , and crawled across it .	A fly landed on the empty vizor, staring at it , and then crawled across it .	not_entailment
The stains on the carpet have survived every name change .	The bugs on the carpet have survived every name change .	not_entailment
Paula perched herself against the cutting table trying to look nonchalant .	Paula 's parrot perched herself on the cutting table trying to look nonchalant .	not_entailment
Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .	Find the driver of a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to disease , and you can buy with confidence .	not_entailment
The hollow barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .	The hollow bone of a dog came from one of the stone sheds , but there was no sign of life around the buildings .	not_entailment
Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .	Recently , of course , there has been an added dimension — inflated by politicians : balloons .	not_entailment
Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities .	Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of disease immunities .	not_entailment
Exhausted .	Exhausted the resources .	not_entailment
They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .	They win their parents over with a rose-tinted vase which is decidedly reassuring .	not_entailment
No matter ; only the accents change — and the pants : here , the squares wear slacks , the good guys blue-jeans .	No matter ; only the accents change — and the pants : here , the good blue-jeans have squares .	not_entailment
Other organizations could not be absorbed but could still be brought within the Central Office orbit .	Other liquids could not be absorbed but could still be brought within the Central Office orbit .	not_entailment
Nor , if we are in civilised cast of mind , because we wish to become drunk .	Nor , if we are in civilised cast of characters , because we wish to become drunk .	not_entailment
Was it even now shadowing them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?	Was he even now shadowing the painting , moving soundlessly from cover to cover , like a tiger in the steel jungle ?	not_entailment
Berry 's songs are plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism .	Berry made plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism , on the jar .	not_entailment
seems to be wide awake could of got up	seems to be wide ; could not cross it	not_entailment
A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the fire .	not_entailment
Well I reckon she lived er a couple of years after the stroke Gordon .	Well I reckon twenty objects there.	not_entailment
‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .	‘ We 've had more paperwork , not less , since the trust took over , ’ and Buzz said it tasted tart .	not_entailment
You might have assumed this was the police bluffing and bullying .	You might have assumed this was the police bluffing in poker .	not_entailment
Save you , save you carrying them .	I will save you from carrying them .	not_entailment
She fell asleep to the sound of music drifting upwards from the drawing-room .	She fell asleep to the smell of smoke drifting upwards from the drawing-room .	not_entailment
You have to hope that its blankness will slowly dissolve and let life in .	You have to hope that its metals will slowly dissolve and let carbon in .	not_entailment
The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .	That is one of the most intractable sheep in industrialised farms .	not_entailment
Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .	Let puritans and pessimists damn , disapprove or dismiss these appetites for meat ; that is their loss .	not_entailment
Avon treads warily .	Avon treads on the grass warily .	not_entailment
Despite many and varied flurries of activity in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	Despite many and varied flurries of snow in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	not_entailment
No golden light bathed the red brick of the house .	No one bathed in the red brick house .	not_entailment
Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?	Does the ‘ grievous bodily harm ’ rule extend his arm too far ?	not_entailment
Adam closed the front door and stood there for a moment as if he could not wrench himself away .	Adam closed the front door and stood there for a moment as if he could not find the wrench .	not_entailment
This was conveniently encapsulated in the first try .	This was conveniently encapsulated in the first bottle .	not_entailment
But ‘ posturing and pretending ’ went far beyond the unions .	But ‘ posturing and pretending in front of a mirror ’ went far beyond the unions .	not_entailment
Second , it would consolidate the image and essence of the Intifada as a constructive , not a destructive , force .	Second , it would consolidate the image and essence of the Intifada into one destructive force .	not_entailment
And the Spirit ,  stooping  earthward ,	And the eagle , stooping earthward ,	not_entailment
Traced  a winding pathway for it ,	Traced a winding lineage for it ,	not_entailment
Then a snow-white cloud  unfolding  ,	Then a snow-white sheet unfolding ,	not_entailment
Till it  touched  the top of heaven ,	Till it touched the top of her head ,	not_entailment
Now you  find  that we are strongest ,	Now you find our strongest person ,	not_entailment
Only  made  the fire burn brighter ,	Only made the brighter burning fire ,	not_entailment
Touched  the rugged hills with smoothness ,	Touched the rugged hills with his hand ,	not_entailment
On their tracks his eyes were  fastened  ,	On their tracks his hands were fastened ,	not_entailment
And his heart within him  fluttered  ,	And his butterfly within fluttered ,	not_entailment
Filled  with awe was Hiawatha	Filled with water was Hiawatha 's jar	not_entailment
Filled  with joy was Mudjekeewis	Filled with water was Mudjekeewis 's jar	not_entailment
Saw his youth  rise  up before him	Saw the sea rise up before him	not_entailment
You bring back the days  departed  ,	You bring back the dearly departed ,	not_entailment
You  bring  back my youth of passion ,	You bring back my youth who are passionate ,	not_entailment
In the days long since  departed  ,	In the people long since departed ,	not_entailment
Fill  the fiery brains of young men ?	Fill the fiery barns of young men ?	not_entailment
At his touch he  felt  new courage	At his touch he felt new leather	not_entailment
Till the darkness  fell  around them ,	Till they fell in the darkness ,	not_entailment
Taking  shape when earth it touches ,	Taking earth when it touches the shape ,	not_entailment
Till the darkness  fell  around them ,	Till they fell in the darkness ,	not_entailment
Till the darkness  falls  around us ,	Till we fall in the darkness ,	not_entailment
Fearing lest his strength should  fail  him ,	Fearing lest his son should fail him ,	not_entailment
Round about him  spun  the landscape ,	Round about him spun the spider 's web ,	not_entailment
And his strong heart  leaped  within him ,	And his strong rabbit leaped within it ,	not_entailment
Blazed  and flared the red horizon ,	Blazed and flared the red inferno ,	not_entailment
Blazed and  flared  the red horizon ,	Blazed and flared the red inferno ,	not_entailment
And  made  known unto the people	And made corn for the people	not_entailment
Straight between them  ran  the pathway ,	Straight between them ran the person ,	not_entailment
Could not  breed  ill-will between them ,	Could not breed two animals ,	not_entailment
For they  kept  each other 's counsel ,	For they kept each other 's necklaces ,	not_entailment
Now he  stirred  their souls to passion ,	Now he stirred their soup to boiling ,	not_entailment
Now he  melted  them to pity .	Now he melted them together .	not_entailment
All the hearts of men were  softened	All the pillows of men were softened	not_entailment
For his strength  allied  to goodness .	For his daughter allied to nobility .	not_entailment
Rose , but  made  no angry answer ;	Rose , but made no one angry ,	not_entailment
Where a brooklet  led  them onward ,	Where a women led them onward ,	not_entailment
To their challenge  made  no answer ,	For the challenge made no cake ,	not_entailment
For the Summer-time is  coming  ,	Grandma is coming for the summer ,	not_entailment
Went  a sound , a cry of horror ,	Went a snake , a cry of horror ,	not_entailment
For his thoughts as paddles  served  him ,	For his thoughts as waiters served him ,	not_entailment
And his wishes  served  to guide him ;	And his waiters served him ,	not_entailment
And his wishes served to  guide  him ;	And his waiters guided him ;	not_entailment
Till the waves  washed  through the rib-bones ,	Till the waves washed away the rib-bones ,	not_entailment
With their fiery breath  made  answer :	With their fiery breath made charcoal	not_entailment
Till the level moon  stared  at him	Till the lion stared at him	not_entailment
Harmless  fell  the blows he dealt it	Harmless fell the trees he chopped down	not_entailment
Harmless  fell  the heavy war-club ;	Harmless fell the heavy box	not_entailment
From whose branches  trailed  the mosses ,	From whose branches trailed the jaguar ,	not_entailment
Him , who  sent  the fiery fever ,	Him who sent the fiery arrows ,	not_entailment
And his heart  outran  his footsteps ;	And he outran his opponents ;	not_entailment
And then  added  , speaking slowly ,	And then added the numbers slowly ,	not_entailment
And  made  answer very gravely :	And made a vow very gravely :	not_entailment
"Let your heart  speak  , Minnehaha ! """	Let your friend speak , Minnehaha !	not_entailment
Though his pace he  checked  and slackened	Though his watch he checked and slackened	not_entailment
Though his pace he checked and  slackened	Though his rope he checked and slackened	not_entailment
That the time might  pass  more gayly ,	That the thought might pass more gayly ,	not_entailment
That the time may  pass  more gayly ,	That the thought may pass more gayly ,	not_entailment
That the time may  pass  more gayly ,	That the thought may pass more gayly ,	not_entailment
As the springs to  meet  the sunshine ,	As the Springs to meet the neighbors ,	not_entailment
When the clouds  drop  shadows on it !	When the clouds drop rain on it !	not_entailment
Then my troubled heart is  brightened  ,	Then my troubled room is brightened ,	not_entailment
Jealous of the applause they  gave  him ,	Jealous of the apples they gave him ,	not_entailment
Would you only  give  him credence ,	Would you only give him gum ,	not_entailment
That the time may  pass  more gayly ,	That the thought may advance more gayly ,	not_entailment
All the water  flushed  with crimson !	All the water flushed the crimson away !	not_entailment
And they  felt  it rising , rising ,	And they felt the flag rising , rising	not_entailment
And they felt it  rising  , rising ,	And they felt the carpet rising , rising	not_entailment
Could not  see  your heart of passion ,	Could not see your passionfruit	not_entailment
Of the happy days that  followed  ,	Of the happy children that followed	not_entailment
Robed  with darkness as a garment .	Robed with wool as a garment	not_entailment
Till the tree-tops  shook  with laughter ,	Till the tree tops shook from wind	not_entailment
When the noiseless night  descended	When the noiseless owl descended	not_entailment
Guskewau , the darkness ,  wrapped  her	Guskewau , the ribbon , wrapped her	not_entailment
Till the cornfields  rang  with laughter ,	Till the phones rang	not_entailment
And the song this shape  suggested	And the song this child suggested	not_entailment
Such the spell I  cast  upon you ,	Such the net I cast upon you	not_entailment
Covered  all the earth with silence ,	Covered all the earth with cement	not_entailment
Came  the Spring , and all the forest	Came the sheep , and all the forest	not_entailment
As the clouds are  swept  from heaven ,	As the dirt is swept from the floor	not_entailment
As the ice is  swept  from rivers ,	As the ice is swept from the floor	not_entailment
Far above him  swam  the heavens ,	Far above him swam the dolphins	not_entailment
"That my vengeance shall not  reach  him ! """	That my letter shall not reach him !	not_entailment
With reserve he thus  made  answer :	With reserve he thus made pie	not_entailment
Till it  drew  itself together ,	Till it drew itself a portrait	not_entailment
Till it  took  the form and features	Till it took the form and signed it	not_entailment
With his war-club  smote  the doorways ,	With his anger smote the kings	not_entailment
Fell  a drowsiness on Kwasind ;	Fell a doorknob on Kwasind	not_entailment
Raged and  roared  the wintry tempest ,	Raged and roared the lion	not_entailment
So disasters  come  not singly ;	So ducks come not singly	not_entailment
Not a change  came  o'er their features ;	Not a plane came o'er their heads	not_entailment
We have  put  you to the trial ,	We have put you in the bedroom	not_entailment
Fell , and could not  rise  from weakness ,	Fell and could not rise from the ground	not_entailment
Hid her face , but  made  no answer ;	Hid her face, but made no shadow	not_entailment
At the looks they  cast  upon her ,	At the stones they cast upon the lake	not_entailment
Let us  pass  the night together ,	Let us pass the test together	not_entailment
All the meadows  wave  with blossoms ,	All the fans wave with blossoms	not_entailment
While they spake , the night  departed  :	While they spake , the bird departed	not_entailment
Came  the Spring with all its splendor ,	Came the peacock with all its splendor	not_entailment
Fell  the sunshine on his features ,	Fell the moonlight on his features	not_entailment
Fell  the evening 's dusk and coolness ,	Fell the evening 's cool acrobat	not_entailment
Torments him ; round he  throws  his baleful eyes	Torments him ; round he throws his dirty laundry	not_entailment
And rest can never  dwell  , hope never comes	And rats can never dwell , hope never comes	not_entailment
And rest can never dwell , hope never  comes	And rest can never dwell , she never comes	not_entailment
i attacked the problem as soon as i got out of bed	i attacked the one giving us problem as soon as i got out of bed	not_entailment
which horse are you backing?	which horse are you riding on its back?	not_entailment
she tended to blast when speaking into a microphone	she tended to produce explosive sounds when speaking into a microphone	not_entailment
don't bolt your food!	don't bolt to your food!	not_entailment
the judge clapped him in jail	the judge clapped him into the jail 	not_entailment
the politician clawed his rival.	the politician clawed the face of his rival.	not_entailment
this young man knows how to climb the social ladder	this young man knows how to climb a ladder	not_entailment
fear clogged her mind	fear clogged her heart	not_entailment
she devoured his novels	she devoured his novels for some reason and choked	not_entailment
my son drifted around for years in california before going to law school	my son drifted around the lakes in california for years before going to law school	not_entailment
the mother drinks in every word of her son on the stage	the mother drinks because of every word of her son on the stage	not_entailment
i was drowned in work	i was drowned because of my work	not_entailment
she drowned her trouble in alcohol	she was drowned because of her trouble in alcohol	not_entailment
the boss exploded when he heard of the resignation of the secretary	the boss bombed himself when he heard of the resignation of the secretary	not_entailment
every star seemed to flare with new intensity.	every star seemed to flare with new clothes.	not_entailment
the dancer floated across the stage	the dancer floated across the stage with a cart	not_entailment
the government floated the ruble for a few months	the government floated the ruble in a pond for a few months	not_entailment
he heaped him with work	he heaped him with documents from work	not_entailment
the businessman kited millions of dollars	the businessman flew a kite made of millions of dollars	not_entailment
we can lean on this man	we can lean on this man's back	not_entailment
‘ No , ’ he said helpfully , then bestowed a patronising smile on me .	‘ No , ’ he said helpfully , then bestowed a cake with a patronising smile to me .	not_entailment
He finds out what the needs of the business are , and prescribes the cure .	He finds out what the needs of the business are , and prescribes the cure for every patient.	not_entailment
‘ I think she 'd do better to understand herself , ’ Ellen said tartly .	‘ I think she 'd do better to understand herself , ’ Ellen said with a tart in her mouth.	not_entailment
Oh , and there 's one more thing you can be sure of , ’ he added sourly .	Oh , and there 's one more thing you can be sure of , ’ he added with a sour smell in his mouth .	not_entailment
We rattled them from the first minute and did n't give them any breathing space .	We gave them rattling sounds from the first minute and did n't give them any breathing space .	not_entailment
We could still be looking for it when they blow us out of the water . ’	We could still be looking for it when they bomb us out of the water . ’	not_entailment
No one who was at the Brewery Field ( perhaps not even the selectors ) would give twopence for their ability to do so .	No one who was at the Brewery Field ( perhaps not even the selectors ) would bet twopence for their ability to do so .	not_entailment
Four of the absentees suffered the squirming discomfort of being among the Welsh squad .	Four of the absentees suffered the discomfort caused by the squirms of the Welsh squad .	not_entailment
There are few things worse than being bludgeoned into reading a book you hate .	There are few things worse than being bludgeoned with a book you hate .	not_entailment
